tree_id,ply_model,species,dbh_observed_cm_tidy,stump_ABG_dry_weight_kg,new_cyl_vol_HFB_L,dry_density_published,wd_species_level_field,sd,paul_2016_type_c,paul_2013_universal_dbh_c,brown_c,willams_woodland_c,chave_lit_dens_c_kg,chave_scaled_dens_c_kg,TLS_ABG_dry_lit_dens_kg,TLS_est_ABG_dry_scaled_kg,obs_ABG_dry_kg,williams,paul2016,paul2013,brown,chave_L,chave_F,TLS_L,TLS_F
Extra2_lower,AM3_iron_ranges_boundary_lower.0021,Lophostemon suaveolens,22,26.86,301.875,0.551,0.568797555022222,0.0413758919524916,205.636,180.774,176.946,236.484,187.41,187.06,166.345068,166.1097396,136.692,209.624288455694,178.775957072763,153.914395826078,150.085707740488,160.443047754356,166.345559589377,166.333125,171.705761922333
9_lower,AM3_iron_ranges_boundary_lower.0037,Corymbia sp. (clarksoniana/novoguinensis) ,13.5,15.64,89.07,0.7204,0.667544218791304,0.0829111358529929,48.837,44.024,41.351,54.696,56.07,55.29,64.16577927,63.4824461,54.832,54.6938375772433,48.8344862145055,44.0216263342069,41.349356824979,56.0346733288663,50.8974733359782,64.166028,59.4581635677415
10_lower,AM3_iron_ranges_boundary_lower.0068,Corymbia sp. (clarksoniana/novoguinensis) ,18.4,22.94,229.377,0.7204,0.667544218791304,0.0829111358529929,111.584,97.56,93.959,128.804,132.98,106.1,165.2429633,136.1882767,96.582,128.800555611507,111.580204690955,97.5563499349802,93.9552225382528,132.895076616296,121.72577625811,165.2431908,153.119290273693
Planch10_lower,AM3_iron_ranges_boundary_lower.0079,Planchonia careya,16.55,0,274.199,0.6458,0.513332816370833,0.0516890920801603,104.59,94.735,91.418,116.635,107.49,87.55,177.0642044,143.5701442,146.83,116.63525487532,104.590065589834,94.7346574250327,91.4178005641905,107.445175543404,85.8777552870065,177.0777142,140.755344916066
Extra1_lower,AM3_iron_ranges_boundary_lower.0098,Planchonia careya,11.3,0,29.693,0.6458,0.513332816370833,0.0516890920801603,42.258,39.841,37.719,45.22,41.15,35.31,19.17397811,16.4022796,25.048,45.2201102275595,42.2577620306432,39.8405660293919,37.719106940581,41.1281493276476,32.8725149873332,19.1757394,15.2423913164992
11_lower,AM3_iron_ranges_boundary_lower.0113,Corymbia sp. (clarksoniana/novoguinensis) ,24.5,41.87,569.808,0.7204,0.667544218791304,0.0829111358529929,223.664,188.938,185.269,267.071,276.23,247.82,410.4888362,373.1727303,345.129,267.06764931661,223.660638755481,188.934591813085,185.265348914124,276.056885423307,253.269840604258,410.4896832,380.372036221036
15_lower,AM3_iron_ranges_boundary_lower.0132,Eucalyptus tetrodonta,37.4,106.74,1608.673,0.8784,0.69905622905,0.0797882837399388,618.388,496.173,499.271,776.399,990.21,739.94,1413.058076,1084.322536,1037.795,776.400921922655,618.388951407183,496.174835344391,499.272426755055,989.640064986144,770.586481357544,1413.0583632,1124.55288115455
2_lower,AM3_iron_ranges_boundary_lower.0134,Corymbia sp. (clarksoniana/novoguinensis) ,28.5,64.45,784.457,0.7204,0.667544218791304,0.0829111358529929,315.831,260.891,258.149,385.288,398.2,352.48,565.1213641,508.2416038,504.013,385.286158023809,315.828465130787,260.888354296188,258.14637870176,397.959296804552,364.816640885407,565.1228228,523.65973524037
Cor1_lower,AM3_iron_ranges_boundary_lower.0177,Corymbia sp. (clarksoniana/novoguinensis) ,13.7,12.11,140.901,0.7204,0.667544218791304,0.0829111358529929,54.658,49.578,46.859,60.841,62.31,51.71,101.5046955,86.76567707,46.567,60.8396771051575,54.6561812098193,49.5769248370466,46.8572844918226,62.2673635648425,56.9364513495445,101.5050804,94.0576479719136
12_lower,AM3_iron_ranges_boundary_lower.0185,Corymbia sp. (clarksoniana/novoguinensis) ,21.5,32.14,295.003,0.7204,0.667544218791304,0.0829111358529929,162.569,139.442,135.615,191.222,197.76,184.67,212.5193704,200.2307018,198.174,191.222608827933,162.569226781803,139.442399633169,135.61545053066,197.646050228584,181.176398665838,212.5201612,196.927547176091
