ID,transect,count,termites,damage_termite,damage_fungi
W41,SCT1,1,0,0,0
W42,SCT1,1,0,1,0
W43,SCT1,1,1,1,0
W44,SCT1,1,1,1,0
W45,SCT1,1,0,1,0
W46,SCT1,1,0,0,1
W47,SCT1,1,0,0,0
W48,SCT1,1,0,0,0
W49,SCT1,1,0,0,0
W50,SCT1,1,0,1,0
W51,SCT1,1,0,1,0
W52,SCT1,1,1,1,0
W53,SCT1,1,0,0,0
W54,SCT1,1,0,0,0
W55,SCT1,1,0,0,1
W56,SCT2,1,1,1,0
W57,SCT2,1,1,1,0
W58,SCT2,1,0,0,1
W59,SCT2,1,0,0,1
W60,SCT2,1,0,0,1
W61,SCT2,1,0,1,1
W62,SCT2,1,0,0,1
W63,SCT2,1,0,0,1
W64,SCT2,1,0,0,0
W65,SCT2,1,1,1,0
W66,SCT2,1,0,1,0
W67,SCT2,1,0,1,0
W68,SCT2,1,1,1,0
W69,SCT2,1,1,1,0
W70,SCT2,1,0,1,0
W71,PWT1,1,0,1,0
W72,PWT1,1,0,1,0
W73,PWT1,1,0,1,0
W74,PWT2,1,0,1,0
W75,PWT2,1,0,0,0
W76,PWT2,1,0,1,0
W77,PWT2,1,0,1,0
