"","X","length","radius","unmodradius","surfacecoverage","parent","extension","branch","added","numlayers","meanpointdist","mad","x","y","z","dx","dy","dz","damage_hol","damage_rot","vol_cyl","vol_cyl_d_hol","vol_cyl_d_rot","col_cyl_d_all"
"1",0,0.42903653,0.08668104,0.08668104,0.5625,4294967295,1,0,0,3,0.010730792,-0.00041608955,37.404568,28.319317,116.854866,-0.1365863,-0.06499259,0.98849386,0,1.76219780951604,0.0101272695828454,0,0.000178462522752685,0.000178462522752685
"2",1,0.30694833,0.08561958,0.08561958,0.4125,0,2,0,0,4,0.015220313,4.85399e-05,37.39976,28.25976,117.28432,-0.31013614,0.19108388,0.9312908,0,1.74584816698997,0.00706905456262052,0,0.000123414959505031,0.000123414959505031
"3",2,0.2565952,0.08592849,0.08592849,0.745,1,3,0,0,4,0.009970174,-0.0017031482,37.3501,28.299944,117.58913,-0.18062915,-0.030811021,0.9830686,0,1.75060630019586,0.00595213483610898,0,0.000104198447437076,0.000104198447437076
"4",3,0.22094877,0.083156906,0.083156906,0.78,2,4,0,0,3,0.0062013385,0.0004388708,37.306686,28.290018,117.84185,0.0066297892,-0.06826611,0.99764514,0,1.70791565935119,0.00479996538484389,0,8.19793604511856e-05,8.19793604511856e-05
"5",4,0.17859901,0.081713736,0.081713736,0.88,3,5,0,0,3,0.007377796,-4.327411e-05,37.310635,28.272003,118.062065,-0.11362991,-0.11027654,0.9873841,0,1.68568654699241,0.0037464423509316,0,6.31532747004803e-05,6.31532747004803e-05
"6",5,0.242676,0.083004095,0.083004095,0.86,4,6,0,0,4,0.010103431,0.00020291886,37.29685,28.262564,118.2403,-0.07584563,0.046434816,0.99603784,0,1.7055619152402,0.00525261703926022,0,8.95866357750399e-05,8.95866357750399e-05
"7",6,0.22275956,0.08571039,0.086379826,0.66,5,7,0,0,3,0.013122089,0.0001070362,37.264317,28.23261,118.482864,-0.07252323,0.33918095,0.93792146,0,1.74724691120811,0.00514106584926574,0,8.98271142544708e-05,8.98271142544708e-05
"8",7,0.18950444,0.08841668,0.08841668,0.8325,6,8,0,0,3,0.018616581,0.0003623484,37.23796,28.276932,118.7023,-0.032549977,-0.14688756,0.98861754,0,1.78893183016115,0.0046541209896857,0,8.32590517986984e-05,8.32590517986984e-05
"9",8,0.20370698,0.080000274,0.080000274,0.85,7,9,0,0,3,0.013836825,-0.00033390705,37.23354,28.244804,118.88907,-0.11724596,-0.11808864,0.98605704,0,1.65929413354112,0.00409579990794419,0,6.79613675941006e-05,6.79613675941006e-05
"10",9,0.26950783,0.07945035,0.07945035,0.855,8,10,0,0,4,0.026436852,-0.00023653277,37.19754,28.23423,119.09011,0.049072992,-0.06077153,0.99694467,0,1.65082366756359,0.00534457147462669,0,8.82294508329898e-05,8.82294508329898e-05
"11",10,0.18407041,0.07797978,0.07797978,0.8125,9,11,0,0,3,0.005516228,0.00023166683,37.216183,28.220846,119.35871,0.010672922,-0.079881124,0.99674726,0,1.62817251367219,0.00351639669801189,0,5.7253004508706e-05,5.7253004508706e-05
