field_ID,tree_ID,species,S/H_clear,undamaged_area,hollowed_area,rotted_area,flagged_damage,perc_hollow,perc_rot,hollow_location,rot_location,diameter_cm,imagej_d1,imagej_d2,residrill_trace,notes,termites_sampled
COR1-A,Cor1_lower,Corymbia sp. (clarksoniana/novoguinensis) ,y,43.185,3.809,0,,8.82,0.00,h,,10.9,,,y,,
COR1-BR2,Cor1_lower,Corymbia sp. (clarksoniana/novoguinensis) ,y,70.639,0.049,0,,0.07,0.00,h,,8.975,8.87,9.08,n,,
COR1-BR3,Cor1_lower,Corymbia sp. (clarksoniana/novoguinensis) ,y,1,0,0,,0.00,0.00,,,6.74,6.58,6.9,n,,
COR1-S,Cor1_lower,Corymbia sp. (clarksoniana/novoguinensis) ,y,103.646,15.219,0,,14.68,0.00,h,,14,,,y,,
COR1U-A,Cor1_upper,Corymbia sp. (clarksoniana/novoguinensis) ,y,88.701,14.182,3.437,,15.99,3.87,h,h,13.8,,,y,,
COR1U-BR2,Cor1_upper,Corymbia sp. (clarksoniana/novoguinensis) ,y,43.758,0.132,0,,0.30,0.00,h,,8.425,8.27,8.58,n,,
COR1U-BR3,Cor1_upper,Corymbia sp. (clarksoniana/novoguinensis) ,y,16.543,0,1.081,,0.00,6.53,,h,4.57,4.57,4.57,n,,
COR1U-S,Cor1_upper,Corymbia sp. (clarksoniana/novoguinensis) ,y,182.838,17.28,0,,9.45,0.00,h,,16.4,,,y,,
COR2U-S,Cor2_upper,Corymbia sp. (clarksoniana/novoguinensis) ,y,1,0,0,,0.00,0.00,,,8.715,8.77,8.66,?,,
EXTRA1-S,Extra1_lower,Planchonia careya,y,103.653,0,2.093,y - fungi,0.00,2.02,,h,12.215,12.03,12.4,?,,
EXTRA2-A,Extra2_lower,Lophostemon suaveolens,n,1,0,0,fire scarring has removed 1/3 of sapwood,0.00,0.00,,,19.6,,,?,,
EXTRA2-BR2,Extra2_lower,Lophostemon suaveolens,y,42.965,0,0.1,y - fungi,0.00,0.23,,h,11,10.32,11.68,n,,
EXTRA2-BR3,Extra2_lower,Lophostemon suaveolens,y,1,0,0,y - fungi,0.00,0.00,,,4.68,5.06,4.3,n,,
EXTRA2-S,Extra2_lower,Lophostemon suaveolens,y,1,0,0,,0.00,0.00,,,21.435,22.06,20.81,y,,
EXTRA3-A,Extra3_lower,Planchonia careya,n,71.852,0,4.129,,0.00,5.75,,h,13.26,12.92,13.6,y,,
EXTRA3-BR3,Extra3_lower,Planchonia careya,y,1,0,0,,0.00,0.00,,,7,6.87,7.13,n,,
EXTRA3-S,Extra3_lower,Planchonia careya,y,77.873,2.377,1.18,,3.05,1.52,h,h,15.895,15.43,16.36,y,,
EXTRA7-A,Extra7_lower,Corymbia sp. (clarksoniana/novoguinensis) ,y,72.733,0,0.152,,0.00,0.21,,h,10.8,,,y,,
EXTRA7-C,Extra7_lower,Corymbia sp. (clarksoniana/novoguinensis) ,y,80.239,1.878,0,,2.34,0.00,h,,12.4,,,n,,
EXTRA7-BR2,Extra7_lower,Corymbia sp. (clarksoniana/novoguinensis) ,y,1,0,0,,0.00,0.00,,,9.91,10.21,9.61,n,,
EXTRA7-BR3,Extra7_lower,Corymbia sp. (clarksoniana/novoguinensis) ,y,38.041,0.396,0,,1.04,0.00,h,,7.54,7.4,7.68,n,,
EXTRA7-BR4,Extra7_lower,Corymbia sp. (clarksoniana/novoguinensis) ,y,1,0,0,,0.00,0.00,,,5.04,4.8,5.28,n,,
EXTRA7-S,Extra7_lower,Corymbia sp. (clarksoniana/novoguinensis) ,n,63.441,7.323,0,,11.54,0.00,"h,s",,18.6,,,y,,y
EXTRA8-S,Extra8_lower,Grevillea parallela,n,1,0,0,,0.00,0.00,,,8.295,8.27,8.32,n,,
EXTRA9-S,Extra9_lower,Grevillea parallela,n,1,0,0,,0.00,0.00,,,4.335,4.4,4.27,n,,
EXTRA10-S,Extra10_lower,Grevillea parallela,n,46.983,1.074,0,,2.29,0.00,"h,s",,5.835,5.5,6.17,n,,
EXTRA12-S,Extra12_lower,Grevillea parallela,n,1,0,0,,0.00,0.00,,,4.94,5,4.88,n,,
EXTRA13-S,Extra13_lower,Grevillea parallela,n,1,0,0,,0.00,0.00,,,7.485,7.81,7.16,n,,
GOLDEN1-BR2,Golden1_upper,Deplanchea tetraphylla,n,1,0,0,,0.00,0.00,,,11.13,11.37,10.89,n,,
GOLDEN1-BR3,Golden1_upper,Deplanchea tetraphylla,n,1,0,0,,0.00,0.00,,,4.395,4.61,4.18,n,,
GOLDEN1-S,Golden1_upper,Deplanchea tetraphylla,n,102.071,8.583,0,,8.41,0.00,h,,16.625,15.39,17.86,y,,
GOLDEN4U-S,Golden4_upper,Deplanchea tetraphylla,n,1,0,0,,0.00,0.00,,,5.23,5.51,4.95,n,,
