,length,radius,unmodradius,surfacecoverage,parent,extension,branch,added,numlayers,meanpointdist,mad,x,y,z,dx,dy,dz
0,0.5685296,0.11723933,0.11723933,0.44,4294967295,1,0,0,3,0.052419685,-0.0014775909,52.44567,34.288857,117.8486,0.8029037,0.27536255,0.52869755
1,0.22504783,0.09679088,0.09679088,0.25,0,2,0,0,3,0.038471803,-0.00115035,52.812485,34.432156,118.29225,0.6752274,0.69255096,0.25385228
2,0.38997474,0.26647764,0.26647764,0.37,1,3,0,0,5,0.037881676,-0.002261968,52.69303,34.555313,118.20024,-0.118001096,0.08577586,0.9893019
3,0.078106456,0.2766156,0.2766156,0.5025,2,4,0,0,3,0.01210304,-0.00064633426,52.63983,34.598927,118.584305,-0.16024311,0.13308823,0.9780642
4,0.15777957,0.27660477,0.27660477,0.4275,3,5,0,0,4,0.012625708,-0.0023885283,52.62584,34.617588,118.65933,-0.04915262,-0.11336775,0.9923365
5,0.11630386,0.25711247,0.25711247,0.485,4,6,0,0,3,0.012710482,-0.0026005907,52.639442,34.604618,118.81752,-0.06733718,0.05060948,0.9964459
6,0.15113981,0.2700783,0.2700783,0.5275,5,7,0,0,4,0.01637532,-0.0015736821,52.609074,34.616062,118.9316,-0.0479551,0.015572788,0.99872804
7,0.15062943,0.260461,0.260461,0.28,6,8,0,0,4,0.021360604,-0.0027584631,52.59983,34.629616,119.08228,0.08235705,-0.020665238,0.9963886
8,0.12934445,0.24484503,0.24484503,0.38,7,9,0,0,3,0.021518255,-0.0006926772,52.626053,34.632854,119.23136,-0.33052298,0.1072349,0.937686
9,0.1475795,0.26923865,0.26923865,0.59,8,10,0,0,5,0.011980414,0.0037286216,52.560703,34.65082,119.344215,-0.062656574,0.057021618,0.99640495
10,0.20655577,0.26446444,0.26446444,0.53,9,11,0,0,5,0.013037077,-0.0010029587,52.542847,34.65527,119.49095,0.00046170308,0.17539176,0.9844987
11,0.116660565,0.26189235,0.26189235,0.55,10,12,0,0,3,0.012305209,-4.1675707e-05,52.519966,34.693947,119.69388,-0.0703358,-0.002877522,0.9975192
12,0.15328847,0.2652335,0.2652335,0.655,11,13,0,0,4,0.012725865,0.00043260737,52.516262,34.688908,119.810555,-0.032401238,0.1719107,0.9845795
13,0.111274265,0.26421797,0.26421797,0.53,12,14,0,0,3,0.0218772,0.0004873541,52.49095,34.698933,119.96366,-0.08018545,-0.17583205,0.981149
14,0.14981577,0.26146778,0.26146778,0.5775,13,15,0,0,4,0.011575236,-0.00031583724,52.488163,34.71423,120.07959,-0.09540832,0.09650321,0.9907493
15,0.1679615,0.25890276,0.25890276,0.58,14,16,0,0,4,0.013599866,-0.0007627293,52.470303,34.726143,120.22792,-0.052464113,0.018396506,0.9984534
16,0.15061504,0.25723654,0.25723654,0.42,15,17,0,0,4,0.012757872,2.8891247e-05,52.43739,34.74772,120.39401,-0.03897897,0.015627047,0.9991179
