,length,radius,unmodradius,surfacecoverage,parent,extension,branch,added,numlayers,meanpointdist,mad,x,y,z,dx,dy,dz
0,0.33988935,0.041017134,0.041017134,0.4675,4294967295,1,0,0,3,0.0059773363,-0.0006226928,-87.15203,-71.5809,110.79819,-0.20716691,-0.042520326,0.9773811
1,0.13068485,0.030260563,0.030260563,0.3875,0,2,0,0,4,0.029620584,0.000104367304,-87.18003,-71.604576,111.13796,-0.3163759,0.079609804,0.94528764
2,0.16308892,0.042837307,0.042837307,0.465,1,3,0,0,4,0.03519507,8.389533e-06,-87.24175,-71.60633,111.2557,-0.322365,-0.13833018,0.9364537
3,0.14183094,0.038242634,0.038242634,0.435,2,4,0,0,4,0.012416112,0.000114572606,-87.29656,-71.62411,111.40836,-0.1925222,-0.12980051,0.9726701
4,0.14126198,0.03687346,0.030913154,0.4325,3,5,0,0,4,0.007642736,3.1869536e-09,-87.328445,-71.638664,111.54593,-0.15306103,-0.052982666,0.98679537
5,0.13650905,0.03763734,0.038280915,0.395,4,6,0,0,4,0.0041914326,-2.7561513e-05,-87.37081,-71.649185,111.681946,-0.26402104,-0.07382976,0.96168715
6,0.13922936,0.03325836,0.028693095,0.3875,5,7,0,0,4,0.0088375565,0.00016690772,-87.38113,-71.65792,111.82039,-0.26215035,0.06488002,0.9628436
7,0.09015999,0.03187167,0.036803924,0.29,6,8,0,0,3,0.0059141647,-0.0001648775,-87.42604,-71.65207,111.95237,-0.34677532,-0.14656292,0.9264266
8,0.0895597,0.027067142,0.028286688,0.2525,7,9,0,0,3,0.008013062,-0.00010127664,-87.43916,-71.66754,112.04233,-0.18766874,0.18042779,0.96551865
9,0.114455454,0.022869207,0.029570928,0.15,8,10,0,0,4,0.0077587464,4.0357313e-09,-87.46439,-71.63102,112.12336,0.08605573,-0.26616618,0.96007806
10,0.13276577,0.017279679,0.020181967,0.1825,9,11,0,0,4,0.0072087627,3.2149765e-09,-87.454544,-71.66148,112.233246,-0.42081672,-0.89001906,0.17544086
11,0.055904955,0.012721773,0.020233966,0.0425,10,12,0,0,3,0.014396056,0.0,-87.510414,-71.77965,112.25654,0.18832973,0.08570367,0.9783592
12,0.05116577,0.009300879,0.012647771,0.055,11,4294967295,0,0,3,0.028532399,1.3546511e-09,-87.5357,-71.796394,112.320015,-0.46776214,-0.101843014,0.8779673
13,0.22307903,0.016415695,0.028967815,0.3325,10,14,1,0,4,0.013030779,-1.8906547e-09,-87.46179,-71.65522,112.24763,-0.35394007,-0.16303337,0.9209487
14,0.1278397,0.016415695,0.025368284,0.3325,13,15,1,0,4,0.014873394,-1.3619072e-05,-87.54157,-71.69184,112.45287,-0.09238369,0.04565473,0.9946763
15,0.09988237,0.016415695,0.029757055,0.245,14,16,1,0,4,0.06575133,0.00025563504,-87.56529,-71.690926,112.579155,0.09471591,0.05071884,0.9942115
16,0.10116077,0.016415695,0.02692967,0.0875,15,4294967295,1,0,4,0.08319954,1.1175871e-09,-87.5386,-71.686676,112.67686,0.2224846,0.6225798,0.75026333
17,0.08844243,0.009428893,0.005,0.05,2,18,3,0,3,0.009930912,0.005,-87.22591,-71.64445,111.244255,0.321247,-0.90913594,-0.26508915
18,0.08236595,0.005613231,0.015731549,0.04,17,4294967295,3,0,4,0.04604129,-1.1641532e-09,-87.18107,-71.72595,111.21833,-0.74454397,-0.56567925,-0.35448742
19,0.12829226,0.0050000004,0.005,0.05,7,4294967295,4,0,0,0.03165643,0.005,-87.40342,-71.6328,111.96389,0.73592716,0.5654894,0.37233454
20,0.15750536,0.018174417,0.016453382,0.1025,8,21,5,0,4,0.03278025,-1.3629111e-09,-87.43384,-71.69342,112.0482,0.07856798,-0.5855785,0.8067992
21,0.10961359,0.01803871,0.011886409,0.1075,20,22,5,0,4,0.041555542,1.08293326e-10,-87.429924,-71.77967,112.18298,0.5813908,-0.7155847,0.38719946
22,0.10692746,0.017917028,0.012619074,0.1275,21,23,5,0,4,0.0046792547,-9.1306135e-10,-87.37357,-71.861786,112.22971,0.6198272,-0.64123255,0.4523661
23,0.09361877,0.017847849,0.016531453,0.11,22,24,5,0,4,0.01904523,-1.0159883e-09,-87.30475,-71.92857,112.27711,0.36639827,-0.78153014,0.50493854
24,0.13973664,0.017405296,0.0135956155,0.135,23,25,5,0,4,0.00617071,-8.9682917e-10,-87.273636,-71.99554,112.33629,0.46938232,-0.88028973,-0.06906696
25,0.119115695,0.017042356,0.017523179,0.155,24,26,5,0,4,0.006924422,-1.9978372e-09,-87.21355,-72.12182,112.33102,0.6998134,-0.7013506,0.13553041
26,0.11139638,0.016515132,0.01694906,0.1975,25,27,5,0,4,0.040067498,9.666893e-10,-87.13019,-72.203354,112.35755,0.6091386,-0.7656353,0.20676742
27,0.08355563,0.015920447,0.013659779,0.1125,26,28,5,0,3,0.005927895,-1.2210674e-09,-87.064606,-72.288864,112.38647,0.5811828,-0.7397868,0.33903092
