,length,radius,unmodradius,surfacecoverage,parent,extension,branch,added,numlayers,meanpointdist,mad,x,y,z,dx,dy,dz
0,0.33866647,0.027141863,0.027141863,0.5175,4294967295,1,0,0,4,0.0051554027,-0.0001986162,-27.95185,3.8863046,138.39337,0.110042475,0.028403074,0.993521
1,0.27233115,0.024995364,0.024995364,0.4075,0,2,0,0,4,0.0024233593,-8.856508e-05,-27.915106,3.8977466,138.72984,0.09483124,0.09556839,0.9908954
2,0.19048221,0.021456607,0.021456607,0.3575,1,3,0,0,3,0.0065602097,-0.00010985835,-27.888384,3.9146109,139.00049,0.048183825,0.012281268,0.99876297
3,0.22552653,0.029582338,0.027649816,0.3625,2,4,0,0,4,0.015956925,-0.0003486848,-27.893358,3.9096775,139.19151,0.12429714,0.14084071,0.9821986
4,0.17440487,0.029866062,0.049827125,0.2475,3,5,0,0,3,0.018753102,0.00017437583,-27.886623,3.9349113,139.41666,0.33881834,0.21282774,0.91646415
5,0.28203553,0.02591172,0.013320709,0.285,4,6,0,0,4,0.00838047,1.9444878e-05,-27.808197,3.9780118,139.56795,0.22177912,0.25579345,0.9409483
6,0.24032821,0.023922097,0.03020701,0.2225,5,7,0,0,4,0.011538771,-9.292297e-09,-27.775166,4.0636997,139.83661,0.24760082,0.06986243,0.96634007
7,0.23084068,0.019814191,0.029178202,0.23,6,4294967295,0,0,4,0.020729184,-0.00017704688,-27.68854,4.106718,140.06,0.110975236,0.27451107,0.95515877
8,0.13968562,0.01302196,0.013940343,0.04,0,9,2,0,3,0.049949285,1.7462298e-10,-27.941502,3.872505,138.37242,0.68412185,-0.543961,0.48588464
9,0.059294306,0.010862394,0.012530217,0.0275,8,10,2,0,3,0.014761002,3.3866276e-10,-27.831066,3.8093178,138.4349,0.5591996,-0.032975692,0.82837707
10,0.016550234,0.009604377,0.005,0.05,9,11,2,0,5,0.04975063,0.005,-27.80865,3.825913,138.49202,0.66796595,0.37846795,0.6407679
11,0.07604268,0.00786092,0.008943589,0.0325,10,12,2,0,3,0.017936772,-1.074603e-10,-27.68938,3.8745883,138.59763,0.44738013,0.24600907,0.8598434
12,0.01,0.005746245,0.005,0.05,11,13,2,0,3,0.021893566,0.005,-27.656492,3.8973548,138.6619,0.33807623,-0.03677784,0.9403998
13,0.01,0.0052110776,0.005,0.05,12,4294967295,2,0,3,0.048259854,0.005,-27.62526,3.8807516,138.7562,0.25597173,0.61600554,0.7449937
14,0.22309633,0.023745596,0.024871776,0.07,1,15,3,0,4,0.027958969,1.2306762e-09,-27.929451,3.9022257,138.70987,-0.71569073,0.69773585,-0.03084638
15,0.13119261,0.018245082,0.022101343,0.025,14,16,3,0,3,0.030379517,1.3969839e-09,-28.08548,4.059896,138.70302,-0.3947358,0.74761885,0.5340877
16,0.086752616,0.0146883875,0.0146883875,0.025,15,4294967295,3,0,3,0.06860443,-1.0244549e-09,-28.129025,4.1594806,138.77707,0.24019776,0.7034716,0.668904
17,0.16677114,0.0071319225,0.009200675,0.045,15,18,64,0,3,0.011947191,1.0348029e-10,-28.069122,4.0645337,138.6964,0.72548974,0.6808343,0.10064492
18,0.01,0.005,0.005,0.05,17,4294967295,64,0,3,0.0320912,0.005,-27.928972,4.1782894,138.71848,-0.35304174,0.72382694,0.59282047
19,0.15161875,0.01767811,0.012803443,0.08,1,20,4,0,3,0.019972641,-2.2700988e-09,-27.92456,3.8863208,138.70972,-0.30533934,-0.8979611,0.31691283
20,0.21928409,0.015520851,0.018738344,0.135,19,21,4,0,4,0.006047818,-0.00022649327,-27.978415,3.755108,138.76036,-0.053336572,-0.43677366,0.89798886
21,0.13231145,0.011847553,0.005827063,0.0375,20,22,4,0,3,0.0065173907,-3.7252904e-10,-27.99064,3.634393,138.94511,-0.6482406,0.050492432,0.75975966
22,0.071116515,0.009503684,0.0088260295,0.03,21,23,4,0,3,0.0064710425,3.8805106e-10,-28.07641,3.6410737,139.04564,-0.6352061,-0.26915264,0.72392684
23,0.084239304,0.006702643,0.0049465722,0.0375,22,4294967295,4,0,3,0.04080355,-4.967054e-10,-28.121584,3.6219325,139.09712,-0.4156345,-0.027880166,0.9091043
24,0.11409876,0.0050000004,0.005,0.05,21,4294967295,65,0,0,0.054298133,0.005,-27.98196,3.6381032,138.95227,0.4029882,0.28874245,0.8684632
