damage_type,damage_location,n_new,n,percentage_all,percentage_damaged,out,out2,
rotted,main stem,15,25,0.125,0.6,0.151515152,0.217391304,
rotted,canopy,10,15,0.075,0.4,0.101010101,0.333333333,
hollowed ,main stem,44,54,0.27,0.745762712,0.444444444,0.637681159,
hollowed ,canopy,15,20,0.1,0.254237288,0.151515152,0.5,0.696969697
holrot,main stem,10,10,0.05,0.666666667,0.101010101,0.144927536,0.303030304
holrot,canopy,5,5,0.025,0.333333333,0.050505051,0.166666667,
undamaged,main stem,36,36,,,0.303030303,,
undamaged,canopy,65,65,,,0.696969697,,
damaged,main stem,69,69,0.345,0.696969697,,,
damaged,canopy,30,30,0.15,0.303030303,,,
,,,,,,,,
,not damaged,,damaged,,,,,
main stem,36,,69,,,,,
canopy,65,,30,,,,,
total,101,,99,200,,,,
,not rotted ,,rotted ,,,,,
main stem,80,,25,,,,,
canopy,80,,15,,,,,
total,160,,40,200,,,,
,not hollowed,,hollowed,,,,,
main stem,51,,54,,,,,
canopy,75,,20,,,,,
total,126,,74,200,,,,
,not hol+rot,,hol+rot,,,,,
main stem,95,,10,,,,,
canopy,90,,5,,,,,
total,185,,15,200,,,,
